event_uuid,match_id,event_index,period,timestamp,minute,second,event_type_id,event_type,possession,possession_team_id,possession_team_name,play_pattern,team_id,team_name,player_id,player_name,position,x,y,end_x,end_y,duration,under_pressure,shot_xg,shot_outcome,shot_body_part,shot_technique,shot_type,pass_outcome,pass_complete,pass_length,pass_angle,pass_height,pass_type,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_goal_assist,attack_direction_inferred,coordinates_flipped,norm_x,norm_y,norm_end_x,norm_end_y,carry_progressive,pass_progressive,pass_into_final_third,is_turnover
bbc0bff9-1ab0-4fb5-a375-64e777259dd7,3829521,1,1,00:00:00.000,0,0,35,Starting XI,1,146,Bordeaux,Regular Play,146,Bordeaux,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
5439ddaa-bb25-46ae-8eb8-5a04cf191dbf,3829521,2,1,00:00:00.000,0,0,35,Starting XI,1,146,Bordeaux,Regular Play,133,Troyes,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
74f171db-f1cf-4e14-8e52-9db5dc7e421f,3829521,3,1,00:00:00.000,0,0,18,Half Start,1,146,Bordeaux,Regular Play,133,Troyes,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
33e2ddf3-7419-4f96-a0f3-9da7bbd568cd,3829521,4,1,00:00:00.000,0,0,18,Half Start,1,146,Bordeaux,Regular Play,146,Bordeaux,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
f961f6b7-ed47-4680-b24e-9c8416f98392,3829521,5,1,00:00:00.333,0,0,30,Pass,2,146,Bordeaux,From Kick Off,146,Bordeaux,6739.0,Diego Alejandro Rolan Silva,Left Center Forward,61.0,40.1,60.8,43.2,0.647553,False,,,,,,,True,3.1064448,1.6352232,Ground Pass,Kick Off,3184.0,Enzo Crivelli,False,False,left_to_right,False,61.0,40.1,60.8,43.2,False,False,False,False
88971005-9806-484c-9512-891158e7bc51,3829521,6,1,00:00:00.981,0,0,42,Ball Receipt*,2,146,Bordeaux,From Kick Off,146,Bordeaux,3184.0,Enzo Crivelli,Right Center Forward,60.8,43.2,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,60.8,43.2,,,False,False,False,False
e35ae337-81a0-4622-8c0b-c55b7060bcb6,3829521,7,1,00:00:00.981,0,0,43,Carry,2,146,Bordeaux,From Kick Off,146,Bordeaux,3184.0,Enzo Crivelli,Right Center Forward,60.8,43.2,60.6,44.0,0.420928,False,,,,,,,False,,,,,,,False,False,left_to_right,False,60.8,43.2,60.6,44.0,False,False,False,False
e639fe36-1f1a-4cba-8fde-7cf7304df983,3829521,8,1,00:00:01.402,0,1,30,Pass,2,146,Bordeaux,From Kick Off,146,Bordeaux,3184.0,Enzo Crivelli,Right Center Forward,60.6,44.0,51.8,41.0,0.85111,False,,,,,,,True,9.297312,-2.8130395,Ground Pass,,7552.0,Clément Chantôme,False,False,left_to_right,False,60.6,44.0,51.8,41.0,False,False,False,False
61872c02-78b8-4434-b933-62f9d0af814d,3829521,9,1,00:00:02.253,0,2,42,Ball Receipt*,2,146,Bordeaux,From Kick Off,146,Bordeaux,7552.0,Clément Chantôme,Left Defensive Midfield,51.8,41.0,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,51.8,41.0,,,False,False,False,False
d8dae6d1-372a-4944-8fdd-9069640eddec,3829521,10,1,00:00:02.253,0,2,43,Carry,2,146,Bordeaux,From Kick Off,146,Bordeaux,7552.0,Clément Chantôme,Left Defensive Midfield,51.8,41.0,52.2,41.5,0.836375,True,,,,,,,False,,,,,,,False,False,left_to_right,False,51.8,41.0,52.2,41.5,False,False,False,False
ce296545-e135-4cd4-9169-3e7597b662e1,3829521,11,1,00:00:02.799,0,2,17,Pressure,2,146,Bordeaux,From Kick Off,133,Troyes,3010.0,Corentin Jean,Center Forward,64.4,33.9,,,0.61062,False,,,,,,,False,,,,,,,False,False,left_to_right,False,64.4,33.9,,,False,False,False,False
1cb1d36f-9570-4826-9119-0fc536371329,3829521,12,1,00:00:03.089,0,3,30,Pass,2,146,Bordeaux,From Kick Off,146,Bordeaux,7552.0,Clément Chantôme,Left Defensive Midfield,52.2,41.5,50.9,26.0,1.077263,True,,,,,,,True,15.55442,-1.6544715,Ground Pass,,3150.0,Jaroslav Plašil,False,False,left_to_right,False,52.2,41.5,50.9,26.0,False,False,False,False
150e5c44-4a2d-41d7-9019-ba8e7f93b147,3829521,13,1,00:00:04.166,0,4,42,Ball Receipt*,2,146,Bordeaux,From Kick Off,146,Bordeaux,3150.0,Jaroslav Plašil,Right Defensive Midfield,50.9,26.0,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,50.9,26.0,,,False,False,False,False
0f0da56c-a634-44a5-b741-c19d85da437b,3829521,14,1,00:00:04.166,0,4,43,Carry,2,146,Bordeaux,From Kick Off,146,Bordeaux,3150.0,Jaroslav Plašil,Right Defensive Midfield,50.9,26.0,50.5,19.6,1.374186,False,,,,,,,False,,,,,,,False,False,left_to_right,False,50.9,26.0,50.5,19.6,False,False,False,False
b236039e-038d-44fc-b858-1219617db44d,3829521,15,1,00:00:05.541,0,5,30,Pass,2,146,Bordeaux,From Kick Off,146,Bordeaux,3150.0,Jaroslav Plašil,Right Defensive Midfield,50.5,19.6,64.0,8.5,1.206784,False,,,,,,,True,17.477413,-0.688145,Ground Pass,,4442.0,Maxime Poundjé,False,False,left_to_right,False,50.5,19.6,64.0,8.5,False,False,False,False
2a095509-6882-4c86-bccb-ca760ae83509,3829521,16,1,00:00:06.747,0,6,42,Ball Receipt*,2,146,Bordeaux,From Kick Off,146,Bordeaux,4442.0,Maxime Poundjé,Left Back,64.0,8.5,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,64.0,8.5,,,False,False,False,False
6be6baba-b3ed-488b-9264-c1b873f383cb,3829521,17,1,00:00:06.747,0,6,43,Carry,2,146,Bordeaux,From Kick Off,146,Bordeaux,4442.0,Maxime Poundjé,Left Back,64.0,8.5,90.7,5.9,4.170545,True,,,,,,,False,,,,,,,False,False,left_to_right,False,64.0,8.5,90.7,5.9,True,False,False,False
8654d299-3483-4566-a889-c22389a07a1b,3829521,18,1,00:00:07.013,0,7,17,Pressure,2,146,Bordeaux,From Kick Off,133,Troyes,2993.0,Stéphane Darbion,Right Wing,52.9,65.6,,,3.744933,False,,,,,,,False,,,,,,,False,False,left_to_right,False,52.9,65.6,,,False,False,False,False
5a2d026e-116a-484e-ad5f-345b9e247ff2,3829521,19,1,00:00:10.918,0,10,3,Dispossessed,2,146,Bordeaux,From Kick Off,146,Bordeaux,4442.0,Maxime Poundjé,Left Back,90.7,5.9,,,0.0,True,,,,,,,False,,,,,,,False,False,left_to_right,False,90.7,5.9,,,False,False,False,True
51b08655-40dc-462a-9fac-9f0c2202814d,3829521,20,1,00:00:10.918,0,10,4,Duel,2,146,Bordeaux,From Kick Off,133,Troyes,2993.0,Stéphane Darbion,Right Wing,29.4,74.2,,,0.0,True,,,,,,,False,,,,,,,False,False,left_to_right,False,29.4,74.2,,,False,False,False,False
a1113f71-a435-4e08-a79b-97591542971b,3829521,21,1,00:00:16.922,0,16,30,Pass,3,146,Bordeaux,From Throw In,146,Bordeaux,4442.0,Maxime Poundjé,Left Back,105.5,0.1,95.4,8.9,0.529018,False,,,,,,,True,13.395895,2.4248693,Low Pass,Throw-in,3196.0,Wahbi Khazri,False,False,left_to_right,False,105.5,0.1,95.4,8.9,False,False,False,False
34da0204-6c35-4332-91b8-8a47aca4ac35,3829521,22,1,00:00:17.451,0,17,42,Ball Receipt*,3,146,Bordeaux,From Throw In,146,Bordeaux,3196.0,Wahbi Khazri,Left Midfield,95.4,8.9,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,95.4,8.9,,,False,False,False,False
195f1e7c-995e-4a58-a294-1f65f6b5301d,3829521,23,1,00:00:17.525,0,17,17,Pressure,3,146,Bordeaux,From Throw In,133,Troyes,7488.0,Thomas Ayasse,Right Defensive Midfield,20.4,70.1,,,3.276711,False,,,,,,,False,,,,,,,False,False,left_to_right,False,20.4,70.1,,,False,False,False,False
1abcef93-ff4b-48c4-866d-39207dc79893,3829521,24,1,00:00:20.608,0,20,17,Pressure,3,146,Bordeaux,From Throw In,133,Troyes,3002.0,Benjamin Nivet,Center Attacking Midfield,37.3,70.1,,,0.713305,False,,,,,,,False,,,,,,,False,False,left_to_right,False,37.3,70.1,,,False,False,False,False
0960b4ad-8692-4beb-aca7-cef985c9b38c,3829521,25,1,00:00:21.044,0,21,17,Pressure,3,146,Bordeaux,From Throw In,133,Troyes,2993.0,Stéphane Darbion,Right Wing,33.6,73.5,,,0.646803,False,,,,,,,False,,,,,,,False,False,left_to_right,False,33.6,73.5,,,False,False,False,False
232bd513-ffa2-4a2b-9087-c988a11504a1,3829521,26,1,00:00:21.708,0,21,30,Pass,3,146,Bordeaux,From Throw In,146,Bordeaux,3196.0,Wahbi Khazri,Left Midfield,82.4,5.9,69.1,4.9,1.069426,False,,,,,,,True,13.337541,-3.066546,Ground Pass,,3150.0,Jaroslav Plašil,False,False,left_to_right,False,82.4,5.9,69.1,4.9,False,False,False,False
b3af65e4-3f72-4e80-be0c-1408c517eb39,3829521,27,1,00:00:22.777,0,22,42,Ball Receipt*,3,146,Bordeaux,From Throw In,146,Bordeaux,3150.0,Jaroslav Plašil,Right Defensive Midfield,69.1,4.9,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,69.1,4.9,,,False,False,False,False
2d7da0f9-1ca9-41d5-9814-63288b852917,3829521,28,1,00:00:22.777,0,22,43,Carry,3,146,Bordeaux,From Throw In,146,Bordeaux,3150.0,Jaroslav Plašil,Right Defensive Midfield,69.1,4.9,69.1,4.9,0.965946,False,,,,,,,False,,,,,,,False,False,left_to_right,False,69.1,4.9,69.1,4.9,False,False,False,False
a47ce405-0aac-4af5-b7f5-a477a2ba336b,3829521,29,1,00:00:23.743,0,23,30,Pass,3,146,Bordeaux,From Throw In,146,Bordeaux,3150.0,Jaroslav Plašil,Right Defensive Midfield,69.1,4.9,55.2,42.7,2.127449,False,,,,,,,True,40.27468,1.9231735,Ground Pass,,8385.0,Ludovic Lamine Sané,False,False,left_to_right,False,69.1,4.9,55.2,42.7,False,False,False,False
798c0ef0-d99d-4950-8e34-790f6bc3ba08,3829521,30,1,00:00:25.870,0,25,42,Ball Receipt*,3,146,Bordeaux,From Throw In,146,Bordeaux,8385.0,Ludovic Lamine Sané,Right Center Back,55.2,42.7,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,55.2,42.7,,,False,False,False,False
71ed98a4-d107-4234-a3dd-e2a49caeca8d,3829521,31,1,00:00:25.870,0,25,43,Carry,3,146,Bordeaux,From Throw In,146,Bordeaux,8385.0,Ludovic Lamine Sané,Right Center Back,55.2,42.7,54.8,42.7,0.794345,False,,,,,,,False,,,,,,,False,False,left_to_right,False,55.2,42.7,54.8,42.7,False,False,False,False
1299f75d-1100-4d4e-86fe-ded31393037d,3829521,32,1,00:00:26.665,0,26,30,Pass,3,146,Bordeaux,From Throw In,146,Bordeaux,8385.0,Ludovic Lamine Sané,Right Center Back,54.8,42.7,65.9,74.2,1.901838,False,,,,,,,True,33.398502,1.232002,Ground Pass,,2946.0,Frédéric Guilbert,False,False,left_to_right,False,54.8,42.7,65.9,74.2,False,False,False,False
2420c0d9-2147-470a-8999-4702ceaa74f7,3829521,33,1,00:00:28.567,0,28,42,Ball Receipt*,3,146,Bordeaux,From Throw In,146,Bordeaux,2946.0,Frédéric Guilbert,Right Back,65.9,74.2,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,65.9,74.2,,,False,False,False,False
bdff2f8e-9308-4c6a-9e4d-ea410156a67e,3829521,34,1,00:00:28.567,0,28,43,Carry,3,146,Bordeaux,From Throw In,146,Bordeaux,2946.0,Frédéric Guilbert,Right Back,65.9,74.2,65.9,74.2,2.155782,False,,,,,,,False,,,,,,,False,False,left_to_right,False,65.9,74.2,65.9,74.2,False,False,False,False
d10b277d-9ef6-41ad-9e3d-8e7ffda144fa,3829521,35,1,00:00:30.722,0,30,30,Pass,3,146,Bordeaux,From Throw In,146,Bordeaux,2946.0,Frédéric Guilbert,Right Back,65.9,74.2,64.9,63.3,0.724822,False,,,,,,,True,10.945775,-1.6622833,Ground Pass,,7552.0,Clément Chantôme,False,False,left_to_right,False,65.9,74.2,64.9,63.3,False,False,False,False
80766a6b-fa36-4346-9882-69202a1cf8e9,3829521,36,1,00:00:31.447,0,31,42,Ball Receipt*,3,146,Bordeaux,From Throw In,146,Bordeaux,7552.0,Clément Chantôme,Left Defensive Midfield,64.9,63.3,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,64.9,63.3,,,False,False,False,False
416bab8b-9cdc-46b9-9a1f-29ecb05fa381,3829521,37,1,00:00:31.447,0,31,43,Carry,3,146,Bordeaux,From Throw In,146,Bordeaux,7552.0,Clément Chantôme,Left Defensive Midfield,64.9,63.3,64.9,63.3,0.075107,False,,,,,,,False,,,,,,,False,False,left_to_right,False,64.9,63.3,64.9,63.3,False,False,False,False
28c0f4a6-435e-4946-93ed-5f904b91e3a2,3829521,38,1,00:00:31.522,0,31,30,Pass,3,146,Bordeaux,From Throw In,146,Bordeaux,7552.0,Clément Chantôme,Left Defensive Midfield,64.9,63.3,71.3,66.5,0.510523,False,,,,,,,True,7.1554174,0.4636476,Ground Pass,,5110.0,Henri Saivet,False,False,left_to_right,False,64.9,63.3,71.3,66.5,False,False,False,False
9964adbc-48b2-40fb-b61d-3389bc9f995a,3829521,39,1,00:00:32.033,0,32,42,Ball Receipt*,3,146,Bordeaux,From Throw In,146,Bordeaux,5110.0,Henri Saivet,Right Midfield,71.3,66.5,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,71.3,66.5,,,False,False,False,False
56df017e-830b-4e32-9e3e-58f05a1605dd,3829521,40,1,00:00:32.033,0,32,43,Carry,3,146,Bordeaux,From Throw In,146,Bordeaux,5110.0,Henri Saivet,Right Midfield,71.3,66.5,97.2,66.9,4.828836,True,,,,,,,False,,,,,,,False,False,left_to_right,False,71.3,66.5,97.2,66.9,True,False,False,False
dcdafeb6-48ff-40e7-b251-ea2993c1714d,3829521,41,1,00:00:33.007,0,33,17,Pressure,3,146,Bordeaux,From Throw In,133,Troyes,7415.0,Jessy Pi,Left Defensive Midfield,45.6,15.3,,,1.292424,False,,,,,,,False,,,,,,,False,False,left_to_right,False,45.6,15.3,,,False,False,False,False
ab06e9fc-32c2-48f5-9085-6a27d34f7993,3829521,42,1,00:00:36.862,0,36,30,Pass,3,146,Bordeaux,From Throw In,146,Bordeaux,5110.0,Henri Saivet,Right Midfield,97.2,66.9,106.1,75.0,1.124865,False,,,,,,,True,12.034118,0.73837405,Ground Pass,,2946.0,Frédéric Guilbert,False,False,left_to_right,False,97.2,66.9,106.1,75.0,False,False,False,False
21115154-b498-4c45-9ab1-391639541352,3829521,43,1,00:00:37.986,0,37,42,Ball Receipt*,3,146,Bordeaux,From Throw In,146,Bordeaux,2946.0,Frédéric Guilbert,Right Back,106.1,75.0,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,106.1,75.0,,,False,False,False,False
9ab50cd4-38aa-4755-8db8-9961cceb2478,3829521,44,1,00:00:37.986,0,37,43,Carry,3,146,Bordeaux,From Throw In,146,Bordeaux,2946.0,Frédéric Guilbert,Right Back,106.1,75.0,106.1,75.0,0.065565,False,,,,,,,False,,,,,,,False,False,left_to_right,False,106.1,75.0,106.1,75.0,False,False,False,False
0cc9a364-69d9-4091-86b5-1fc1c39a5a72,3829521,45,1,00:00:38.052,0,38,30,Pass,3,146,Bordeaux,From Throw In,146,Bordeaux,2946.0,Frédéric Guilbert,Right Back,106.1,75.0,100.6,35.0,1.934893,False,,,,,,,True,40.376354,-1.7074395,High Pass,,3196.0,Wahbi Khazri,False,False,left_to_right,False,106.1,75.0,100.6,35.0,False,True,False,False
47acfd44-0cf1-4400-a134-8312bd8704b4,3829521,46,1,00:00:39.987,0,39,42,Ball Receipt*,3,146,Bordeaux,From Throw In,146,Bordeaux,3196.0,Wahbi Khazri,Left Midfield,100.6,35.0,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,100.6,35.0,,,False,False,False,False
ac5b5ea3-4e6b-4d2d-9272-5c935eb5918f,3829521,47,1,00:00:39.987,0,39,43,Carry,3,146,Bordeaux,From Throw In,146,Bordeaux,3196.0,Wahbi Khazri,Left Midfield,100.6,35.0,99.9,36.3,0.717334,True,,,,,,,False,,,,,,,False,False,left_to_right,False,100.6,35.0,99.9,36.3,False,False,False,False
53f511e6-c763-4398-b856-e89d00434c6e,3829521,48,1,00:00:40.388,0,40,17,Pressure,3,146,Bordeaux,From Throw In,133,Troyes,3364.0,Jonathan Martins-Pereira,Right Back,14.8,43.8,,,0.309433,False,,,,,,,False,,,,,,,False,False,left_to_right,False,14.8,43.8,,,False,False,False,False
b93d8805-33bb-420d-93c9-a420acf6af45,3829521,49,1,00:00:40.704,0,40,30,Pass,3,146,Bordeaux,From Throw In,146,Bordeaux,3196.0,Wahbi Khazri,Left Midfield,99.9,36.3,114.3,48.5,3.053392,False,,,,,,Incomplete,False,18.873262,0.7028792,Low Pass,,6739.0,Diego Alejandro Rolan Silva,False,False,left_to_right,False,99.9,36.3,114.3,48.5,False,True,False,True
