event_uuid,match_id,event_index,period,timestamp,minute,second,event_type_id,event_type,possession,possession_team_id,possession_team_name,play_pattern,team_id,team_name,player_id,player_name,position,x,y,end_x,end_y,duration,under_pressure,shot_xg,shot_outcome,shot_body_part,shot_technique,shot_type,pass_outcome,pass_complete,pass_length,pass_angle,pass_height,pass_type,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_goal_assist,attack_direction_inferred,coordinates_flipped,norm_x,norm_y,norm_end_x,norm_end_y,carry_progressive,pass_progressive,pass_into_final_third,is_turnover
f85ba121-c29f-47cb-91e9-dbad697851a3,3890352,1,1,00:00:00.000,0,0,35,Starting XI,1,186,FC Köln,Regular Play,186,FC Köln,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
4ef37672-bcbf-48e2-9427-ce7be3fc907b,3890352,2,1,00:00:00.000,0,0,35,Starting XI,1,186,FC Köln,Regular Play,175,Hoffenheim,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
1f01aaf1-42e4-4470-89d8-6715e53d550b,3890352,3,1,00:00:00.000,0,0,18,Half Start,1,186,FC Köln,Regular Play,175,Hoffenheim,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
c806d764-297e-42ac-870b-58d58b4e864e,3890352,4,1,00:00:00.000,0,0,18,Half Start,1,186,FC Köln,Regular Play,186,FC Köln,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
40b97de8-e215-4af8-8f1f-f3af3c062fb9,3890352,5,1,00:00:00.326,0,0,30,Pass,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,8387.0,Mark Uth,Right Center Forward,60.0,40.0,60.3,37.8,0.304473,False,,,,,,,True,2.2203603,-1.4352686,Ground Pass,Kick Off,27317.0,Eduardo Jesús Vargas Rojas,False,False,left_to_right,False,60.0,40.0,60.3,37.8,False,False,False,False
78ca7439-1dae-4b94-816f-bb06b6e15407,3890352,6,1,00:00:00.630,0,0,42,Ball Receipt*,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,27317.0,Eduardo Jesús Vargas Rojas,Left Center Forward,60.3,37.8,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,60.3,37.8,,,False,False,False,False
a8ddd608-801d-4e7d-b8c0-cee676b2d58a,3890352,7,1,00:00:00.630,0,0,43,Carry,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,27317.0,Eduardo Jesús Vargas Rojas,Left Center Forward,60.3,37.8,60.3,37.6,0.04,False,,,,,,,False,,,,,,,False,False,left_to_right,False,60.3,37.8,60.3,37.6,False,False,False,False
06d3c055-1fb7-4850-9b05-5a63753547d8,3890352,8,1,00:00:00.670,0,0,30,Pass,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,27317.0,Eduardo Jesús Vargas Rojas,Left Center Forward,60.3,37.6,45.3,44.5,0.98716,False,,,,,,,True,16.510906,2.710454,Ground Pass,,8556.0,Pirmin Schwegler,False,False,left_to_right,False,60.3,37.6,45.3,44.5,False,False,False,False
22c07530-db14-4b7d-92af-1f54fcdfa4c2,3890352,9,1,00:00:01.657,0,1,42,Ball Receipt*,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,8556.0,Pirmin Schwegler,Right Defensive Midfield,45.3,44.5,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,45.3,44.5,,,False,False,False,False
171d196d-d790-44e6-b43d-f28bbf3f5071,3890352,10,1,00:00:01.657,0,1,43,Carry,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,8556.0,Pirmin Schwegler,Right Defensive Midfield,45.3,44.5,45.1,46.1,0.875884,False,,,,,,,False,,,,,,,False,False,left_to_right,False,45.3,44.5,45.1,46.1,False,False,False,False
4ac89671-fc48-4e4a-ab15-779b981d4fb2,3890352,11,1,00:00:02.533,0,2,30,Pass,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,8556.0,Pirmin Schwegler,Right Defensive Midfield,45.1,46.1,40.4,65.8,1.698187,False,,,,,,,True,20.252901,1.804997,Ground Pass,,9397.0,Pavel Kadeřábek,False,False,left_to_right,False,45.1,46.1,40.4,65.8,False,False,False,False
296fd6e7-55f5-43c3-a5a2-f56185366063,3890352,12,1,00:00:04.231,0,4,42,Ball Receipt*,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,9397.0,Pavel Kadeřábek,Right Back,40.4,65.8,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,40.4,65.8,,,False,False,False,False
d56645e9-c7bf-40ee-ba5d-b9640e49f5ad,3890352,13,1,00:00:04.231,0,4,43,Carry,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,9397.0,Pavel Kadeřábek,Right Back,40.4,65.8,40.4,65.8,0.817687,False,,,,,,,False,,,,,,,False,False,left_to_right,False,40.4,65.8,40.4,65.8,False,False,False,False
4690324f-76d6-4135-b56d-89d89b9c75d5,3890352,14,1,00:00:05.049,0,5,30,Pass,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,9397.0,Pavel Kadeřábek,Right Back,40.4,65.8,23.2,55.2,1.216387,False,,,,,,,True,20.20396,-2.5892892,Ground Pass,,12321.0,Tobias Strobl,False,False,left_to_right,False,40.4,65.8,23.2,55.2,False,False,False,False
19a06912-b9b3-44af-8fe5-aa7818fde0a7,3890352,15,1,00:00:06.265,0,6,42,Ball Receipt*,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,12321.0,Tobias Strobl,Right Center Back,23.2,55.2,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,23.2,55.2,,,False,False,False,False
101c029e-71f0-47b3-8d76-9f0cb24a9b0d,3890352,16,1,00:00:06.265,0,6,43,Carry,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,12321.0,Tobias Strobl,Right Center Back,23.2,55.2,22.0,48.7,1.654758,False,,,,,,,False,,,,,,,False,False,left_to_right,False,23.2,55.2,22.0,48.7,False,False,False,False
2a1ea9f1-238c-480c-bccb-5cd4fcf1f098,3890352,17,1,00:00:07.920,0,7,30,Pass,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,12321.0,Tobias Strobl,Right Center Back,22.0,48.7,23.2,19.7,1.801245,False,,,,,,,True,29.024817,-1.5294406,Ground Pass,,6322.0,Niklas Süle,False,False,left_to_right,False,22.0,48.7,23.2,19.7,False,False,False,False
1ce278a7-595a-4977-be06-6c228372db0f,3890352,18,1,00:00:09.721,0,9,42,Ball Receipt*,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,6322.0,Niklas Süle,Left Center Back,23.2,19.7,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,23.2,19.7,,,False,False,False,False
8411dc3f-bc7f-491a-80ca-16e17fcf84fd,3890352,19,1,00:00:09.721,0,9,43,Carry,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,6322.0,Niklas Süle,Left Center Back,23.2,19.7,23.6,21.5,0.723001,True,,,,,,,False,,,,,,,False,False,left_to_right,False,23.2,19.7,23.6,21.5,False,False,False,False
e7645233-04a8-4e4d-bea8-44805890b2cb,3890352,20,1,00:00:09.845,0,9,17,Pressure,2,175,Hoffenheim,From Kick Off,186,FC Köln,10902.0,Philipp Hosiner,Right Center Forward,91.2,56.6,,,0.646935,False,,,,,,,False,,,,,,,False,False,left_to_right,False,91.2,56.6,,,False,False,False,False
8c8b1274-ff30-4ed6-8873-be70a0935234,3890352,21,1,00:00:10.444,0,10,30,Pass,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,6322.0,Niklas Süle,Left Center Back,23.6,21.5,7.7,34.7,1.827514,True,,,,,,,True,20.665188,2.448713,Ground Pass,,8393.0,Oliver Baumann,False,False,left_to_right,False,23.6,21.5,7.7,34.7,False,False,False,False
4dfba3ee-a2ae-41b4-9e67-8246a81d9b93,3890352,22,1,00:00:12.272,0,12,42,Ball Receipt*,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,8393.0,Oliver Baumann,Goalkeeper,7.7,34.7,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,7.7,34.7,,,False,False,False,False
89d6b195-12da-47b0-a004-b8221d233945,3890352,23,1,00:00:12.272,0,12,43,Carry,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,8393.0,Oliver Baumann,Goalkeeper,7.7,34.7,13.9,35.3,1.714187,False,,,,,,,False,,,,,,,False,False,left_to_right,False,7.7,34.7,13.9,35.3,False,False,False,False
c1fb13ba-d635-4d52-9051-9bb3ab373620,3890352,24,1,00:00:13.986,0,13,30,Pass,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,8393.0,Oliver Baumann,Goalkeeper,13.9,35.3,17.1,18.6,1.715914,False,,,,,,,True,17.003822,-1.3814744,Ground Pass,,6322.0,Niklas Süle,False,False,left_to_right,False,13.9,35.3,17.1,18.6,False,False,False,False
ecda9cd7-2c94-4137-887e-afb99eb7bec1,3890352,25,1,00:00:15.702,0,15,42,Ball Receipt*,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,6322.0,Niklas Süle,Left Center Back,17.1,18.6,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,17.1,18.6,,,False,False,False,False
6cb049f9-eb65-40c5-af58-e1ff36d9564e,3890352,26,1,00:00:15.702,0,15,43,Carry,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,6322.0,Niklas Süle,Left Center Back,17.1,18.6,17.3,17.9,0.609322,False,,,,,,,False,,,,,,,False,False,left_to_right,False,17.1,18.6,17.3,17.9,False,False,False,False
9a829667-2542-4f34-9af0-4bb6463a647d,3890352,27,1,00:00:16.311,0,16,30,Pass,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,6322.0,Niklas Süle,Left Center Back,17.3,17.9,27.6,2.9,1.383313,False,,,,,,,True,18.195879,-0.9690751,Ground Pass,,40538.0,Jin-Su Kim,False,False,left_to_right,False,17.3,17.9,27.6,2.9,False,False,False,False
2f345237-feaf-4bc4-a3c9-c0c191edfea1,3890352,28,1,00:00:17.695,0,17,42,Ball Receipt*,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,40538.0,Jin-Su Kim,Left Back,27.6,2.9,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,27.6,2.9,,,False,False,False,False
992e69d3-5f48-4508-96f8-6ac9f8eead42,3890352,29,1,00:00:17.695,0,17,43,Carry,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,40538.0,Jin-Su Kim,Left Back,27.6,2.9,24.1,5.6,2.477423,True,,,,,,,False,,,,,,,False,False,left_to_right,False,27.6,2.9,24.1,5.6,False,False,False,False
8e353507-39ee-41ff-90da-dda911eb661f,3890352,30,1,00:00:19.316,0,19,17,Pressure,2,175,Hoffenheim,From Kick Off,186,FC Köln,5679.0,Yūya Ōsako,Right Midfield,89.8,74.7,,,0.86959,False,,,,,,,False,,,,,,,False,False,left_to_right,False,89.8,74.7,,,False,False,False,False
68e5ec96-6237-4617-add0-6032f261903a,3890352,31,1,00:00:20.172,0,20,30,Pass,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,40538.0,Jin-Su Kim,Left Back,24.1,5.6,7.2,7.4,1.875862,True,,,,,,,True,16.995588,3.0354838,Ground Pass,,6322.0,Niklas Süle,False,False,left_to_right,False,24.1,5.6,7.2,7.4,False,False,False,False
97ffb9f1-d69a-4195-b14f-705cdf3e88eb,3890352,32,1,00:00:21.841,0,21,17,Pressure,2,175,Hoffenheim,From Kick Off,186,FC Köln,10902.0,Philipp Hosiner,Right Center Forward,107.0,71.2,,,0.245471,False,,,,,,,False,,,,,,,False,False,left_to_right,False,107.0,71.2,,,False,False,False,False
f3942442-5ab1-4940-a7e3-fd10f6beb7c1,3890352,33,1,00:00:22.048,0,22,42,Ball Receipt*,2,175,Hoffenheim,From Kick Off,175,Hoffenheim,6322.0,Niklas Süle,Left Center Back,7.2,7.4,,,,True,,,,,,,False,,,,,,,False,False,left_to_right,False,7.2,7.4,,,False,False,False,False
