event_uuid,match_id,event_index,period,timestamp,minute,second,event_type_id,event_type,possession,possession_team_id,possession_team_name,play_pattern,team_id,team_name,player_id,player_name,position,x,y,end_x,end_y,duration,under_pressure,shot_xg,shot_outcome,shot_body_part,shot_technique,shot_type,pass_outcome,pass_complete,pass_length,pass_angle,pass_height,pass_type,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_goal_assist,attack_direction_inferred,coordinates_flipped,norm_x,norm_y,norm_end_x,norm_end_y,carry_progressive,pass_progressive,pass_into_final_third,is_turnover
8e57c42d-aafb-431b-9ab1-34df1c57c23a,3754156,1,1,00:00:00.000,0,0,35,Starting XI,1,22,Leicester City,Regular Play,22,Leicester City,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
93de0d9a-796c-40db-8d90-872f9f42cdf0,3754156,2,1,00:00:00.000,0,0,35,Starting XI,1,22,Leicester City,Regular Play,23,Watford,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
48475421-8587-449e-894c-9803d3e210ec,3754156,3,1,00:00:00.000,0,0,18,Half Start,1,22,Leicester City,Regular Play,22,Leicester City,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
d720726e-3283-4791-a6e6-e8993021fbfa,3754156,4,1,00:00:00.000,0,0,18,Half Start,1,22,Leicester City,Regular Play,23,Watford,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
d9ebd3bb-0a2b-4031-9a84-1e4b1eb2524d,3754156,5,1,00:00:01.024,0,1,30,Pass,2,23,Watford,From Kick Off,23,Watford,5458.0,Odion Jude Ighalo,Left Center Forward,61.0,40.1,59.2,42.0,0.876712,False,,,,,,,True,2.6172504,2.329174,Ground Pass,Kick Off,3454.0,Troy Deeney,False,False,left_to_right,False,61.0,40.1,59.2,42.0,False,False,False,False
e32dd377-8806-4eca-8df5-da32bcf4f8f5,3754156,6,1,00:00:01.901,0,1,42,Ball Receipt*,2,23,Watford,From Kick Off,23,Watford,3454.0,Troy Deeney,Right Center Forward,59.2,42.0,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,59.2,42.0,,,False,False,False,False
63be9a8a-1a49-4464-9c66-259632b1ad79,3754156,7,1,00:00:01.901,0,1,30,Pass,2,23,Watford,From Kick Off,23,Watford,3454.0,Troy Deeney,Right Center Forward,59.0,42.0,48.9,36.3,1.515978,False,,,,,,,True,11.597413,-2.627794,Ground Pass,,3626.0,Ben Watson,False,False,left_to_right,False,59.0,42.0,48.9,36.3,False,False,False,False
e43f74ba-fbb7-44f8-83cd-37e71a772cf2,3754156,8,1,00:00:03.417,0,3,42,Ball Receipt*,2,23,Watford,From Kick Off,23,Watford,3626.0,Ben Watson,Left Center Midfield,48.9,36.3,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,48.9,36.3,,,False,False,False,False
46fcb0d3-795b-4922-a061-cd69a973cce6,3754156,9,1,00:00:03.417,0,3,43,Carry,2,23,Watford,From Kick Off,23,Watford,3626.0,Ben Watson,Left Center Midfield,48.9,36.3,41.5,34.1,1.194222,True,,,,,,,False,,,,,,,False,False,left_to_right,False,48.9,36.3,41.5,34.1,False,False,False,False
009a0696-7a61-4d45-b78b-0ed0f5e69b00,3754156,10,1,00:00:03.824,0,3,17,Pressure,2,23,Watford,From Kick Off,22,Leicester City,3814.0,Riyad Mahrez,Center Attacking Midfield,71.8,44.4,,,0.907956,False,,,,,,,False,,,,,,,False,False,left_to_right,False,71.8,44.4,,,False,False,False,False
2cca959a-ad1e-4360-8b2b-9fe8ab57123a,3754156,11,1,00:00:04.611,0,4,30,Pass,2,23,Watford,From Kick Off,23,Watford,3626.0,Ben Watson,Left Center Midfield,41.5,34.1,36.4,8.1,2.935654,True,,,,,,,True,26.495472,-1.764491,Ground Pass,,3306.0,Nathan Aké,False,False,left_to_right,False,41.5,34.1,36.4,8.1,False,False,False,False
d0a2f2d0-80ba-4545-986d-11f6e875d76e,3754156,12,1,00:00:07.547,0,7,42,Ball Receipt*,2,23,Watford,From Kick Off,23,Watford,3306.0,Nathan Aké,Left Back,36.4,8.1,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,36.4,8.1,,,False,False,False,False
30fb96d5-b5df-4f7f-ab81-312aebf1f41b,3754156,13,1,00:00:07.547,0,7,30,Pass,2,23,Watford,From Kick Off,23,Watford,3306.0,Nathan Aké,Left Back,34.4,2.6,37.5,3.2,0.046098,False,,,,,,Incomplete,False,3.1575308,0.19118446,Low Pass,,,,False,False,left_to_right,False,34.4,2.6,37.5,3.2,False,False,False,True
fbe38753-39f9-4c49-9035-c45bb63a88d1,3754156,14,1,00:00:07.593,0,7,6,Block,2,23,Watford,From Kick Off,22,Leicester City,3307.0,Marc Albrighton,Right Midfield,82.6,76.9,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,82.6,76.9,,,False,False,False,False
5b88204d-ae07-4032-9c8e-1cdf7b97f257,3754156,15,1,00:00:10.174,0,10,4,Duel,2,23,Watford,From Kick Off,22,Leicester City,3814.0,Riyad Mahrez,Center Attacking Midfield,91.7,72.0,,,0.0,True,,,,,,,False,,,,,,,False,False,left_to_right,False,91.7,72.0,,,False,False,False,False
eba42cd1-cb6a-4cdb-adc1-143f714180ad,3754156,16,1,00:00:10.174,0,10,30,Pass,2,23,Watford,From Kick Off,23,Watford,3306.0,Nathan Aké,Left Back,28.4,8.1,35.9,13.5,1.044785,True,,,,,,,True,9.241753,0.6240231,Low Pass,Recovery,43081.0,Almen Abdi,False,False,left_to_right,False,28.4,8.1,35.9,13.5,False,False,False,False
731d2501-6a8d-485e-ab59-f43fdaefeed7,3754156,17,1,00:00:11.219,0,11,42,Ball Receipt*,2,23,Watford,From Kick Off,23,Watford,43081.0,Almen Abdi,Left Midfield,35.9,13.5,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,35.9,13.5,,,False,False,False,False
452687a3-94c8-43ad-9f58-f54f51df17e3,3754156,18,1,00:00:11.219,0,11,43,Carry,2,23,Watford,From Kick Off,23,Watford,43081.0,Almen Abdi,Left Midfield,35.9,13.5,35.0,19.6,1.194451,False,,,,,,,False,,,,,,,False,False,left_to_right,False,35.9,13.5,35.0,19.6,False,False,False,False
990e0d4a-5d7a-4e30-b27c-6e38c1d5a215,3754156,19,1,00:00:12.414,0,12,30,Pass,2,23,Watford,From Kick Off,23,Watford,43081.0,Almen Abdi,Left Midfield,35.0,19.6,62.9,32.0,2.028857,False,,,,,,,True,30.53146,0.41822433,High Pass,,3454.0,Troy Deeney,False,False,left_to_right,False,35.0,19.6,62.9,32.0,False,True,False,False
88788721-8ddb-45aa-8e20-ecd8ec0624cd,3754156,20,1,00:00:14.218,0,14,17,Pressure,2,23,Watford,From Kick Off,22,Leicester City,40123.0,Robert Huth,Left Center Back,54.2,47.4,,,0.278121,False,,,,,,,False,,,,,,,False,False,left_to_right,False,54.2,47.4,,,False,False,False,False
aa58e941-88a7-4c44-9569-31c74973d7e1,3754156,21,1,00:00:14.442,0,14,42,Ball Receipt*,2,23,Watford,From Kick Off,23,Watford,3454.0,Troy Deeney,Right Center Forward,62.9,32.0,,,,True,,,,,,,False,,,,,,,False,False,left_to_right,False,62.9,32.0,,,False,False,False,False
7260881b-c22c-4750-9fa5-8fa7aa239d74,3754156,22,1,00:00:14.442,0,14,30,Pass,2,23,Watford,From Kick Off,23,Watford,3454.0,Troy Deeney,Right Center Forward,62.0,31.3,65.0,31.5,0.147997,True,,,,,,Incomplete,False,3.0066593,0.066568166,High Pass,,,,False,False,left_to_right,False,62.0,31.3,65.0,31.5,False,False,False,True
f439dfc2-6d48-470f-bca6-02f18b64efa1,3754156,23,1,00:00:14.590,0,14,6,Block,2,23,Watford,From Kick Off,22,Leicester City,40123.0,Robert Huth,Left Center Back,55.1,48.6,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,55.1,48.6,,,False,False,False,False
49647829-6039-4349-831c-ca41c60aa13e,3754156,24,1,00:00:16.497,0,16,30,Pass,2,23,Watford,From Kick Off,23,Watford,5458.0,Odion Jude Ighalo,Left Center Forward,65.9,30.6,63.3,13.2,2.35865,False,,,,,,,True,17.59318,-1.7191242,High Pass,Recovery,43081.0,Almen Abdi,False,False,left_to_right,False,65.9,30.6,63.3,13.2,False,False,False,False
c84e307c-de18-4219-a96d-12146f277694,3754156,25,1,00:00:18.855,0,18,42,Ball Receipt*,2,23,Watford,From Kick Off,23,Watford,43081.0,Almen Abdi,Left Midfield,63.3,13.2,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,63.3,13.2,,,False,False,False,False
32565f3d-01a6-4624-8e62-9a3f50bfe84b,3754156,26,1,00:00:18.855,0,18,43,Carry,2,23,Watford,From Kick Off,23,Watford,43081.0,Almen Abdi,Left Midfield,63.3,13.2,65.3,16.5,0.749933,False,,,,,,,False,,,,,,,False,False,left_to_right,False,63.3,13.2,65.3,16.5,False,False,False,False
ebc9082b-ac56-4f93-9600-9626bfa5a804,3754156,27,1,00:00:19.605,0,19,30,Pass,2,23,Watford,From Kick Off,23,Watford,43081.0,Almen Abdi,Left Midfield,65.3,16.5,73.4,22.0,0.81636,False,,,,,,,True,9.7908125,0.596501,Ground Pass,,3454.0,Troy Deeney,False,False,left_to_right,False,65.3,16.5,73.4,22.0,False,False,False,False
e0a83db7-5ca0-4fc9-99ec-d8ab112476e0,3754156,28,1,00:00:20.359,0,20,17,Pressure,2,23,Watford,From Kick Off,22,Leicester City,3662.0,Danny Drinkwater,Left Defensive Midfield,49.7,58.6,,,1.442794,False,,,,,,,False,,,,,,,False,False,left_to_right,False,49.7,58.6,,,False,False,False,False
e6c39c5c-d066-4561-b685-1ac464caf33a,3754156,29,1,00:00:20.422,0,20,42,Ball Receipt*,2,23,Watford,From Kick Off,23,Watford,3454.0,Troy Deeney,Right Center Forward,73.4,22.0,,,,True,,,,,,,False,,,,,,,False,False,left_to_right,False,73.4,22.0,,,False,False,False,False
2dccf0e8-3ba8-4bd2-a772-d56e80e981e1,3754156,30,1,00:00:20.422,0,20,43,Carry,2,23,Watford,From Kick Off,23,Watford,3454.0,Troy Deeney,Right Center Forward,73.4,22.0,74.7,30.2,1.788808,True,,,,,,,False,,,,,,,False,False,left_to_right,False,73.4,22.0,74.7,30.2,False,False,False,False
1ef45fbb-a29d-426e-af2d-4c398097e026,3754156,31,1,00:00:21.979,0,21,17,Pressure,2,23,Watford,From Kick Off,22,Leicester City,3961.0,N''Golo Kanté,Right Defensive Midfield,44.8,48.1,,,0.272605,False,,,,,,,False,,,,,,,False,False,left_to_right,False,44.8,48.1,,,False,False,False,False
3f6f39eb-a4c7-4f1a-bc46-a90b4a68cb1d,3754156,32,1,00:00:22.211,0,22,39,Dribbled Past,2,23,Watford,From Kick Off,22,Leicester City,3961.0,N''Golo Kanté,Right Defensive Midfield,45.4,49.9,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,45.4,49.9,,,False,False,False,False
