event_uuid,match_id,event_index,period,timestamp,minute,second,event_type_id,event_type,possession,possession_team_id,possession_team_name,play_pattern,team_id,team_name,player_id,player_name,position,x,y,end_x,end_y,duration,under_pressure,shot_xg,shot_outcome,shot_body_part,shot_technique,shot_type,pass_outcome,pass_complete,pass_length,pass_angle,pass_height,pass_type,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_goal_assist,attack_direction_inferred,coordinates_flipped,norm_x,norm_y,norm_end_x,norm_end_y,carry_progressive,pass_progressive,pass_into_final_third,is_turnover
49161883-ca5b-4028-a2a7-4cafaced24ea,3825601,1,1,00:00:00.000,0,0,35,Starting XI,1,360,Rayo Vallecano,Regular Play,360,Rayo Vallecano,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
b7accdd2-be91-4123-8615-8c9c0d00ea96,3825601,2,1,00:00:00.000,0,0,35,Starting XI,1,360,Rayo Vallecano,Regular Play,1041,Sporting Gijón,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
1fe80f0d-d85f-4b75-a7b5-6fbf61220780,3825601,3,1,00:00:00.000,0,0,18,Half Start,1,360,Rayo Vallecano,Regular Play,360,Rayo Vallecano,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
b0d4053f-d75b-4a93-8059-1b9759f8352e,3825601,4,1,00:00:00.000,0,0,18,Half Start,1,360,Rayo Vallecano,Regular Play,1041,Sporting Gijón,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
ec9e110c-f652-4fb3-a8ff-c9a996bab260,3825601,5,1,00:00:00.549,0,0,30,Pass,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,6852.0,Jozabed Sánchez Ruiz,Center Attacking Midfield,61.0,40.1,60.7,43.2,0.423422,False,,,,,,,True,3.1144824,1.6672701,Ground Pass,Kick Off,11542.0,Javier Guerra Rodríguez,False,False,left_to_right,False,61.0,40.1,60.7,43.2,False,False,False,False
23392c26-0c3f-44db-b5b3-d1c5efd2a388,3825601,6,1,00:00:00.973,0,0,42,Ball Receipt*,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,11542.0,Javier Guerra Rodríguez,Center Forward,60.7,43.2,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,60.7,43.2,,,False,False,False,False
c13a823e-cef1-4ac0-9d3b-da114771ca3e,3825601,7,1,00:00:00.989,0,0,30,Pass,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,11542.0,Javier Guerra Rodríguez,Center Forward,60.8,43.5,50.4,42.2,0.841989,False,,,,,,,True,10.480935,-3.0172377,Ground Pass,,26848.0,Roberto Trashorras Gayoso,False,False,left_to_right,False,60.8,43.5,50.4,42.2,False,False,False,False
d49cc5ca-e865-4cd2-8c85-579a5ee8b367,3825601,8,1,00:00:01.831,0,1,42,Ball Receipt*,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,26848.0,Roberto Trashorras Gayoso,Left Defensive Midfield,50.4,42.2,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,50.4,42.2,,,False,False,False,False
44df467c-ebd6-4729-80db-bb507faacf4e,3825601,9,1,00:00:02.838,0,2,30,Pass,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,26848.0,Roberto Trashorras Gayoso,Left Defensive Midfield,50.6,42.2,45.4,11.5,1.687036,False,,,,,,,True,31.137278,-1.7385849,Ground Pass,,10727.0,Răzvan Dincă Raț,False,False,left_to_right,False,50.6,42.2,45.4,11.5,False,False,False,False
1093759e-8369-43ce-a713-25c30e3214b6,3825601,10,1,00:00:04.525,0,4,42,Ball Receipt*,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,10727.0,Răzvan Dincă Raț,Left Back,45.4,11.5,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,45.4,11.5,,,False,False,False,False
0aeb42fc-6966-49bc-bcd0-0222bc0a4fb2,3825601,11,1,00:00:04.525,0,4,43,Carry,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,10727.0,Răzvan Dincă Raț,Left Back,45.4,11.5,42.8,13.0,0.808673,False,,,,,,,False,,,,,,,False,False,left_to_right,False,45.4,11.5,42.8,13.0,False,False,False,False
78717011-44f0-4521-bb2c-973a85196b71,3825601,12,1,00:00:05.334,0,5,30,Pass,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,10727.0,Răzvan Dincă Raț,Left Back,42.8,13.0,31.6,24.5,0.993441,False,,,,,,,True,16.052725,2.3429794,Ground Pass,,6713.0,Diego Javier Llorente Ríos,False,False,left_to_right,False,42.8,13.0,31.6,24.5,False,False,False,False
09c3d795-eebb-49bb-acf7-eeaabc13a36e,3825601,13,1,00:00:06.327,0,6,42,Ball Receipt*,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,6713.0,Diego Javier Llorente Ríos,Left Center Back,31.6,24.5,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,31.6,24.5,,,False,False,False,False
1e1652c4-09b6-49e2-8fcb-e530450f75a6,3825601,14,1,00:00:06.327,0,6,43,Carry,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,6713.0,Diego Javier Llorente Ríos,Left Center Back,31.6,24.5,28.6,25.0,0.730977,True,,,,,,,False,,,,,,,False,False,left_to_right,False,31.6,24.5,28.6,25.0,False,False,False,False
290db6b9-181d-4c38-9281-723bf537bb02,3825601,15,1,00:00:07.002,0,7,17,Pressure,2,360,Rayo Vallecano,From Kick Off,1041,Sporting Gijón,6602.0,Miguel Ángel Guerrero Martín,Right Center Forward,88.2,56.1,,,0.322317,False,,,,,,,False,,,,,,,False,False,left_to_right,False,88.2,56.1,,,False,False,False,False
d868d720-2a57-43cc-b3e9-dbc02bd0d683,3825601,16,1,00:00:07.058,0,7,30,Pass,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,6713.0,Diego Javier Llorente Ríos,Left Center Back,28.6,25.0,27.9,55.3,1.785664,True,,,,,,,True,30.308084,1.5938945,Ground Pass,,27144.0,Antonio Amaya Carazo,False,False,left_to_right,False,28.6,25.0,27.9,55.3,False,False,False,False
bfb88180-e6f7-4e6e-a42b-c78a7fb02fa7,3825601,17,1,00:00:08.844,0,8,42,Ball Receipt*,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,27144.0,Antonio Amaya Carazo,Right Center Back,27.9,55.3,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,27.9,55.3,,,False,False,False,False
02359bc0-b51d-47f1-8260-3f9b45d56d63,3825601,18,1,00:00:08.844,0,8,43,Carry,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,27144.0,Antonio Amaya Carazo,Right Center Back,27.9,55.3,36.8,64.0,3.031333,False,,,,,,,False,,,,,,,False,False,left_to_right,False,27.9,55.3,36.8,64.0,False,False,False,False
f612ab29-22af-4239-9a00-7e77094c09b9,3825601,19,1,00:00:11.875,0,11,30,Pass,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,27144.0,Antonio Amaya Carazo,Right Center Back,36.8,64.0,50.6,78.9,1.229098,False,,,,,,,True,20.308865,0.8237069,Ground Pass,,11298.0,José Ignacio Martínez García,False,False,left_to_right,False,36.8,64.0,50.6,78.9,False,False,False,False
b8ea7a0e-3977-401e-88ca-05ed291300da,3825601,20,1,00:00:13.104,0,13,42,Ball Receipt*,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,11298.0,José Ignacio Martínez García,Right Back,50.6,78.9,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,50.6,78.9,,,False,False,False,False
259fe44c-f688-4e92-8c05-917b4d651409,3825601,21,1,00:00:13.104,0,13,43,Carry,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,11298.0,José Ignacio Martínez García,Right Back,50.6,78.9,45.6,78.5,1.042865,False,,,,,,,False,,,,,,,False,False,left_to_right,False,50.6,78.9,45.6,78.5,False,False,False,False
5f590ce0-f8f6-4cd8-a510-7f48932c4c15,3825601,22,1,00:00:14.147,0,14,30,Pass,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,11298.0,José Ignacio Martínez García,Right Back,45.6,78.5,8.9,49.1,3.437103,False,,,,,,,True,47.02393,-2.4661875,Ground Pass,,26070.0,Antonio Rodríguez Martínez,False,False,left_to_right,False,45.6,78.5,8.9,49.1,False,False,False,False
077d18e8-d6f0-47a1-94f2-fe2cf29dcc95,3825601,23,1,00:00:17.584,0,17,42,Ball Receipt*,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,26070.0,Antonio Rodríguez Martínez,Goalkeeper,8.9,49.1,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,8.9,49.1,,,False,False,False,False
a39f2fff-cbde-484b-9078-6f8da4ec188f,3825601,24,1,00:00:17.584,0,17,43,Carry,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,26070.0,Antonio Rodríguez Martínez,Goalkeeper,8.9,49.1,10.9,46.5,2.576012,False,,,,,,,False,,,,,,,False,False,left_to_right,False,8.9,49.1,10.9,46.5,False,False,False,False
5f42c4c6-bc55-445f-9077-5ffcb479d97e,3825601,25,1,00:00:20.160,0,20,30,Pass,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,26070.0,Antonio Rodríguez Martínez,Goalkeeper,10.9,46.5,19.9,62.4,1.793538,False,,,,,,,True,18.270468,1.0557235,Ground Pass,,27144.0,Antonio Amaya Carazo,False,False,left_to_right,False,10.9,46.5,19.9,62.4,False,False,False,False
65f759ec-e280-43a3-ae08-39aa6046b578,3825601,26,1,00:00:21.954,0,21,42,Ball Receipt*,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,27144.0,Antonio Amaya Carazo,Right Center Back,19.9,62.4,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,19.9,62.4,,,False,False,False,False
2320fd29-c926-4804-87a5-ef7b25d7cd70,3825601,27,1,00:00:21.954,0,21,43,Carry,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,27144.0,Antonio Amaya Carazo,Right Center Back,19.9,62.4,37.6,73.9,4.645895,False,,,,,,,False,,,,,,,False,False,left_to_right,False,19.9,62.4,37.6,73.9,False,False,False,False
cd9634ad-6bbd-4d71-b6a6-8e1639dcab82,3825601,28,1,00:00:26.600,0,26,30,Pass,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,27144.0,Antonio Amaya Carazo,Right Center Back,37.6,73.9,44.0,78.7,0.989931,False,,,,,,,True,8.0,0.6435011,Ground Pass,,11298.0,José Ignacio Martínez García,False,False,left_to_right,False,37.6,73.9,44.0,78.7,False,False,False,False
6588627f-a9cc-4758-b1cf-f5119ae6dc9a,3825601,29,1,00:00:27.590,0,27,42,Ball Receipt*,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,11298.0,José Ignacio Martínez García,Right Back,44.0,78.7,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,44.0,78.7,,,False,False,False,False
85c98204-b8c0-4830-a353-105c233a3f95,3825601,30,1,00:00:27.590,0,27,43,Carry,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,11298.0,José Ignacio Martínez García,Right Back,44.0,78.7,45.4,78.2,1.471948,False,,,,,,,False,,,,,,,False,False,left_to_right,False,44.0,78.7,45.4,78.2,False,False,False,False
267ebfa0-c54e-4ebc-abce-cc92c008cd84,3825601,31,1,00:00:29.062,0,29,30,Pass,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,11298.0,José Ignacio Martínez García,Right Back,45.4,78.2,51.5,60.0,2.279126,False,,,,,,Incomplete,False,19.195051,-1.2473984,Ground Pass,,11542.0,Javier Guerra Rodríguez,False,False,left_to_right,False,45.4,78.2,51.5,60.0,False,False,False,True
dc4b7ec2-673d-4b3a-8f82-5efbfc280bec,3825601,32,1,00:00:30.162,0,30,17,Pressure,2,360,Rayo Vallecano,From Kick Off,1041,Sporting Gijón,18398.0,Omar Mascarell González,Right Defensive Midfield,68.4,20.6,,,0.830451,False,,,,,,,False,,,,,,,False,False,left_to_right,False,68.4,20.6,,,False,False,False,False
d0a8763f-6732-4cfb-86f5-0941cc3d4609,3825601,33,1,00:00:31.341,0,31,42,Ball Receipt*,2,360,Rayo Vallecano,From Kick Off,360,Rayo Vallecano,11542.0,Javier Guerra Rodríguez,Center Forward,52.3,60.2,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,52.3,60.2,,,False,False,False,False
