event_uuid,match_id,event_index,period,timestamp,minute,second,event_type_id,event_type,possession,possession_team_id,possession_team_name,play_pattern,team_id,team_name,player_id,player_name,position,x,y,end_x,end_y,duration,under_pressure,shot_xg,shot_outcome,shot_body_part,shot_technique,shot_type,pass_outcome,pass_complete,pass_length,pass_angle,pass_height,pass_type,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_goal_assist,attack_direction_inferred,coordinates_flipped,norm_x,norm_y,norm_end_x,norm_end_y,carry_progressive,pass_progressive,pass_into_final_third,is_turnover
cab7ed22-f855-436c-850e-eb964a063a9a,3890474,1,1,00:00:00.000,0,0,35,Starting XI,1,169,Bayern Munich,Regular Play,169,Bayern Munich,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
42da878c-de3a-40f1-b812-882e0236f9ac,3890474,2,1,00:00:00.000,0,0,35,Starting XI,1,169,Bayern Munich,Regular Play,177,FSV Mainz 05,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
e6a3e104-73b8-4e0a-8c83-9f01a1c4cbcf,3890474,3,1,00:00:00.000,0,0,18,Half Start,1,169,Bayern Munich,Regular Play,169,Bayern Munich,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
f458efe7-d33c-40c2-8656-0ff2e252b835,3890474,4,1,00:00:00.000,0,0,18,Half Start,1,169,Bayern Munich,Regular Play,177,FSV Mainz 05,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
d5cf0610-edc6-4a81-a775-daf35c8fb870,3890474,5,1,00:00:01.769,0,1,30,Pass,2,169,Bayern Munich,From Kick Off,169,Bayern Munich,8218.0,Arjen Robben,Right Center Midfield,61.0,40.1,60.0,44.0,0.901344,False,,,,,,,True,4.0261645,1.821799,Ground Pass,Kick Off,5668.0,Robert Lewandowski,False,False,left_to_right,False,61.0,40.1,60.0,44.0,False,False,False,False
809ad320-ec80-4fca-a772-59172d105155,3890474,6,1,00:00:02.670,0,2,42,Ball Receipt*,2,169,Bayern Munich,From Kick Off,169,Bayern Munich,5668.0,Robert Lewandowski,Center Forward,60.0,44.0,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,60.0,44.0,,,False,False,False,False
047bc486-8776-41cf-bfcd-97bbf12fa337,3890474,7,1,00:00:02.670,0,2,43,Carry,2,169,Bayern Munich,From Kick Off,169,Bayern Munich,5668.0,Robert Lewandowski,Center Forward,60.0,44.0,58.7,45.1,0.21611,False,,,,,,,False,,,,,,,False,False,left_to_right,False,60.0,44.0,58.7,45.1,False,False,False,False
a5e6b3a3-bdc4-41be-be11-4d96bedde2d8,3890474,8,1,00:00:02.886,0,2,30,Pass,2,169,Bayern Munich,From Kick Off,169,Bayern Munich,5668.0,Robert Lewandowski,Center Forward,58.7,45.1,47.4,46.0,0.795465,False,,,,,,,True,11.335784,3.0621145,Ground Pass,,8206.0,Arturo Erasmo Vidal Pardo,False,False,left_to_right,False,58.7,45.1,47.4,46.0,False,False,False,False
2ba5239e-13d5-4fd4-a169-878b952fb5cf,3890474,9,1,00:00:03.682,0,3,42,Ball Receipt*,2,169,Bayern Munich,From Kick Off,169,Bayern Munich,8206.0,Arturo Erasmo Vidal Pardo,Center Defensive Midfield,47.4,46.0,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,47.4,46.0,,,False,False,False,False
a5626cd0-0d27-41b3-811f-74777e61ba66,3890474,10,1,00:00:03.682,0,3,43,Carry,2,169,Bayern Munich,From Kick Off,169,Bayern Munich,8206.0,Arturo Erasmo Vidal Pardo,Center Defensive Midfield,47.4,46.0,47.4,51.0,1.128793,False,,,,,,,False,,,,,,,False,False,left_to_right,False,47.4,46.0,47.4,51.0,False,False,False,False
