event_uuid,match_id,event_index,period,timestamp,minute,second,event_type_id,event_type,possession,possession_team_id,possession_team_name,play_pattern,team_id,team_name,player_id,player_name,position,x,y,end_x,end_y,duration,under_pressure,shot_xg,shot_outcome,shot_body_part,shot_technique,shot_type,pass_outcome,pass_complete,pass_length,pass_angle,pass_height,pass_type,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_goal_assist,attack_direction_inferred,coordinates_flipped,norm_x,norm_y,norm_end_x,norm_end_y,carry_progressive,pass_progressive,pass_into_final_third,is_turnover
59fc1bae-88ee-48c5-a5a4-daf4f76b0e5b,3900612,1,1,00:00:00.000,0,0,35,Starting XI,1,142,Guingamp,Regular Play,142,Guingamp,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
89c9874b-441a-41ef-adf7-7fa933445032,3900612,2,1,00:00:00.000,0,0,35,Starting XI,1,142,Guingamp,Regular Play,133,Troyes,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
1182a996-c391-4603-b551-88ef1f7bf02e,3900612,3,1,00:00:00.000,0,0,18,Half Start,1,142,Guingamp,Regular Play,142,Guingamp,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
60caeeb0-face-48ca-baec-9acaddea5908,3900612,4,1,00:00:00.000,0,0,18,Half Start,1,142,Guingamp,Regular Play,133,Troyes,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
ee20ea73-2962-46b7-8fda-5b130a45db0b,3900612,5,1,00:00:00.408,0,0,30,Pass,2,133,Troyes,From Kick Off,133,Troyes,15796.0,Babacar Gueye,Center Forward,61.0,40.1,60.0,43.9,0.652255,False,,,,,,,True,3.9293766,1.82812,Ground Pass,Kick Off,2969.0,Karim Azamoum,False,False,left_to_right,False,61.0,40.1,60.0,43.9,False,False,False,False
785ff04d-3eeb-47fd-be86-a15d5d70ec3e,3900612,6,1,00:00:01.061,0,1,42,Ball Receipt*,2,133,Troyes,From Kick Off,133,Troyes,2969.0,Karim Azamoum,Right Center Midfield,60.0,43.9,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,60.0,43.9,,,False,False,False,False
b281c3d6-33b4-463b-8d65-123b0ce53086,3900612,7,1,00:00:01.326,0,1,30,Pass,2,133,Troyes,From Kick Off,133,Troyes,2969.0,Karim Azamoum,Right Center Midfield,58.1,43.7,48.5,40.0,1.066548,False,,,,,,,True,10.288342,-2.773721,Ground Pass,,7283.0,Thiago Xavier Rodrigues Corrêa,False,False,left_to_right,False,58.1,43.7,48.5,40.0,False,False,False,False
6ad23e41-9fbb-4a46-a88c-f4b59e00aaa6,3900612,8,1,00:00:02.393,0,2,42,Ball Receipt*,2,133,Troyes,From Kick Off,133,Troyes,7283.0,Thiago Xavier Rodrigues Corrêa,Center Defensive Midfield,48.5,40.0,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,48.5,40.0,,,False,False,False,False
a6df3f42-174f-4afb-85a5-416575d57562,3900612,9,1,00:00:02.393,0,2,43,Carry,2,133,Troyes,From Kick Off,133,Troyes,7283.0,Thiago Xavier Rodrigues Corrêa,Center Defensive Midfield,48.5,40.0,48.5,40.0,0.133217,False,,,,,,,False,,,,,,,False,False,left_to_right,False,48.5,40.0,48.5,40.0,False,False,False,False
f65a2308-e580-44f7-8b13-3058dca8041e,3900612,10,1,00:00:02.526,0,2,30,Pass,2,133,Troyes,From Kick Off,133,Troyes,7283.0,Thiago Xavier Rodrigues Corrêa,Center Defensive Midfield,48.5,40.0,96.8,0.7,5.046303,False,,,,,,Out,False,62.268612,-0.6830177,High Pass,,3010.0,Corentin Jean,False,False,left_to_right,False,48.5,40.0,96.8,0.7,False,True,True,True
