event_uuid,match_id,event_index,period,timestamp,minute,second,event_type_id,event_type,possession,possession_team_id,possession_team_name,play_pattern,team_id,team_name,player_id,player_name,position,x,y,end_x,end_y,duration,under_pressure,shot_xg,shot_outcome,shot_body_part,shot_technique,shot_type,pass_outcome,pass_complete,pass_length,pass_angle,pass_height,pass_type,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_goal_assist,attack_direction_inferred,coordinates_flipped,norm_x,norm_y,norm_end_x,norm_end_y,carry_progressive,pass_progressive,pass_into_final_third,is_turnover
f08f563e-4435-42ad-924f-71efe0f3a8d4,3825656,1,1,00:00:00.000,0,0,35,Starting XI,1,221,Levante UD,Regular Play,221,Levante UD,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
fc2c4790-3868-469e-b0e8-382f38b7bb25,3825656,2,1,00:00:00.000,0,0,35,Starting XI,1,221,Levante UD,Regular Play,219,RC Deportivo La Coruña,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
09fdcb02-4488-45b6-b186-96aa95d09450,3825656,3,1,00:00:00.000,0,0,18,Half Start,1,221,Levante UD,Regular Play,219,RC Deportivo La Coruña,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
be414a40-a373-41c2-881f-1e49550043a0,3825656,4,1,00:00:00.000,0,0,18,Half Start,1,221,Levante UD,Regular Play,221,Levante UD,,,,,,,,0.0,False,,,,,,,False,,,,,,,False,False,left_to_right,False,,,,,False,False,False,False
b2d1e3ea-f197-49c4-9a03-82048837e7ba,3825656,5,1,00:00:01.003,0,1,30,Pass,2,221,Levante UD,From Kick Off,221,Levante UD,6684.0,Roger Martí Salvador,Center Forward,60.0,40.0,31.3,25.0,2.696408,False,,,,,,,True,32.383484,-2.6599913,Ground Pass,Kick Off,6647.0,Zouhair Feddal,False,False,left_to_right,False,60.0,40.0,31.3,25.0,False,False,False,False
6ae225f1-14ea-460d-9361-b2d930654fe8,3825656,6,1,00:00:03.700,0,3,42,Ball Receipt*,2,221,Levante UD,From Kick Off,221,Levante UD,6647.0,Zouhair Feddal,Left Center Back,31.3,25.0,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,31.3,25.0,,,False,False,False,False
e281fdc3-c57d-4bac-b40b-7e9792051403,3825656,7,1,00:00:04.451,0,4,30,Pass,2,221,Levante UD,From Kick Off,221,Levante UD,6647.0,Zouhair Feddal,Left Center Back,34.8,24.2,31.3,37.4,1.362254,False,,,,,,,True,13.656135,1.8299836,Ground Pass,,26012.0,David Navarro Pedrós,False,False,left_to_right,False,34.8,24.2,31.3,37.4,False,False,False,False
a1fcaf7a-2dd7-4eba-bf00-bf728002ea8e,3825656,8,1,00:00:05.813,0,5,42,Ball Receipt*,2,221,Levante UD,From Kick Off,221,Levante UD,26012.0,David Navarro Pedrós,Right Center Back,31.3,37.4,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,31.3,37.4,,,False,False,False,False
d8c73912-d7ab-44f1-b7fd-b7f770781d2b,3825656,9,1,00:00:05.813,0,5,43,Carry,2,221,Levante UD,From Kick Off,221,Levante UD,26012.0,David Navarro Pedrós,Right Center Back,31.3,37.4,27.2,35.6,2.28,False,,,,,,,False,,,,,,,False,False,left_to_right,False,31.3,37.4,27.2,35.6,False,False,False,False
612901b3-6b8e-4097-95d0-76884945c58b,3825656,10,1,00:00:08.093,0,8,30,Pass,2,221,Levante UD,From Kick Off,221,Levante UD,26012.0,David Navarro Pedrós,Right Center Back,27.2,35.6,31.3,13.6,1.850988,False,,,,,,,True,22.378784,-1.3865464,Ground Pass,,6647.0,Zouhair Feddal,False,False,left_to_right,False,27.2,35.6,31.3,13.6,False,False,False,False
0f8a6968-3254-4b3d-a39d-3bd2aefe4409,3825656,11,1,00:00:09.944,0,9,42,Ball Receipt*,2,221,Levante UD,From Kick Off,221,Levante UD,6647.0,Zouhair Feddal,Left Center Back,31.3,13.6,,,,False,,,,,,,False,,,,,,,False,False,left_to_right,False,31.3,13.6,,,False,False,False,False
98e9aaed-9789-4a8c-9439-40007a97189d,3825656,12,1,00:00:09.944,0,9,43,Carry,2,221,Levante UD,From Kick Off,221,Levante UD,6647.0,Zouhair Feddal,Left Center Back,31.3,13.6,40.0,5.8,3.493443,True,,,,,,,False,,,,,,,False,False,left_to_right,False,31.3,13.6,40.0,5.8,False,False,False,False
f53f66ea-f7d3-48a5-ac88-e823de36f1de,3825656,13,1,00:00:11.868,0,11,17,Pressure,2,221,Levante UD,From Kick Off,219,RC Deportivo La Coruña,6732.0,Lucas Pérez Martínez,Center Forward,83.1,68.2,,,1.644753,False,,,,,,,False,,,,,,,False,False,left_to_right,False,83.1,68.2,,,False,False,False,False
2ddc28e6-0554-4cfb-bcb3-8c143a12454f,3825656,14,1,00:00:13.437,0,13,30,Pass,2,221,Levante UD,From Kick Off,221,Levante UD,6647.0,Zouhair Feddal,Left Center Back,40.0,5.8,89.3,24.6,3.894623,True,,,,,,Incomplete,False,52.762962,0.3643163,High Pass,,23943.0,Rubén García Santos,False,False,left_to_right,False,40.0,5.8,89.3,24.6,False,True,True,True
